epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,269.673,0.34084,0.26094,0.82452,0.97734,0.94446,0.9771,0.90983,0.30062,0.20955,0.81548,0.000424187,0.000424187,0.000424187
43,275.98,0.34988,0.25693,0.82674,0.96657,0.95342,0.97848,0.90611,0.28458,0.20999,0.81129,0.000417119,0.000417119,0.000417119
44,282.254,0.35598,0.25398,0.82369,0.97108,0.96065,0.97857,0.90663,0.32416,0.21155,0.82345,0.00041005,0.00041005,0.00041005
45,288.632,0.33266,0.24821,0.82008,0.96295,0.96431,0.97624,0.91231,0.28054,0.19745,0.81231,0.000402982,0.000402982,0.000402982
46,294.85,0.3338,0.24839,0.8219,0.98849,0.95628,0.97895,0.91953,0.26694,0.19219,0.81061,0.000395913,0.000395913,0.000395913
47,301.172,0.32327,0.24704,0.8185,0.9728,0.9603,0.9754,0.91125,0.28926,0.19679,0.81515,0.000388844,0.000388844,0.000388844
48,307.425,0.34151,0.25458,0.82587,0.96516,0.95487,0.97204,0.91699,0.27753,0.20431,0.81146,0.000381776,0.000381776,0.000381776
49,313.728,0.31857,0.24035,0.82188,0.95559,0.96378,0.97652,0.91171,0.29016,0.19881,0.81297,0.000374707,0.000374707,0.000374707
50,320.103,0.31762,0.23727,0.81452,0.97416,0.95461,0.97594,0.91565,0.28214,0.19668,0.81077,0.000367639,0.000367639,0.000367639
51,326.431,0.31857,0.236,0.8148,0.97119,0.95426,0.97835,0.92234,0.26073,0.18868,0.8079,0.00036057,0.00036057,0.00036057
52,332.781,0.30648,0.22823,0.81438,0.97578,0.95,0.97696,0.91793,0.2601,0.18883,0.80757,0.000353501,0.000353501,0.000353501
53,339.051,0.3081,0.23001,0.81925,0.97626,0.96549,0.97776,0.9252,0.24974,0.18663,0.80399,0.000346433,0.000346433,0.000346433
54,345.39,0.3116,0.23168,0.81724,0.96206,0.96482,0.97649,0.92318,0.25276,0.18554,0.80682,0.000339364,0.000339364,0.000339364
55,351.773,0.30065,0.22999,0.81148,0.96264,0.96455,0.97679,0.91676,0.27105,0.1883,0.81264,0.000332296,0.000332296,0.000332296
56,358.032,0.30451,0.23587,0.81758,0.95478,0.96984,0.97822,0.91426,0.28086,0.19051,0.81267,0.000325227,0.000325227,0.000325227
57,364.332,0.3029,0.23142,0.81182,0.97411,0.95071,0.97625,0.91051,0.25497,0.19085,0.80747,0.000318158,0.000318158,0.000318158
58,370.569,0.30199,0.23046,0.81163,0.97666,0.95571,0.98033,0.9195,0.26122,0.192,0.80993,0.00031109,0.00031109,0.00031109
59,376.862,0.29207,0.22418,0.8105,0.97256,0.95651,0.9779,0.91997,0.26284,0.18094,0.8091,0.000304021,0.000304021,0.000304021
60,383.146,0.282,0.21429,0.80274,0.9615,0.96643,0.97739,0.92976,0.23661,0.17569,0.8021,0.000296953,0.000296953,0.000296953
61,389.592,0.29625,0.22653,0.81314,0.9595,0.94854,0.9691,0.92273,0.24064,0.18413,0.80143,0.000289884,0.000289884,0.000289884
62,395.832,0.29024,0.22269,0.8051,0.97081,0.95363,0.97883,0.92028,0.25584,0.18526,0.80582,0.000282815,0.000282815,0.000282815
63,402.116,0.2885,0.22269,0.81073,0.97014,0.95432,0.97412,0.92181,0.2574,0.18145,0.80465,0.000275747,0.000275747,0.000275747
64,408.38,0.28052,0.22275,0.79952,0.989,0.9443,0.97869,0.92688,0.24013,0.17903,0.80082,0.000268678,0.000268678,0.000268678
65,414.699,0.28797,0.22204,0.8142,0.96006,0.95344,0.97394,0.92954,0.22277,0.17237,0.79788,0.00026161,0.00026161,0.00026161
66,421.037,0.29085,0.22139,0.80663,0.97817,0.95093,0.97793,0.92905,0.24668,0.17272,0.80361,0.000254541,0.000254541,0.000254541
67,427.316,0.26959,0.20816,0.8026,0.98467,0.94241,0.97766,0.93129,0.23113,0.17629,0.79846,0.000247472,0.000247472,0.000247472
68,433.68,0.27392,0.20939,0.80572,0.97676,0.95597,0.9787,0.92722,0.22544,0.17049,0.80211,0.000240404,0.000240404,0.000240404
69,439.941,0.26633,0.20839,0.80704,0.96842,0.95802,0.97555,0.92818,0.22872,0.17402,0.79953,0.000233335,0.000233335,0.000233335
70,446.244,0.27531,0.21505,0.80258,0.96207,0.95794,0.97819,0.92844,0.22204,0.17197,0.7992,0.000226267,0.000226267,0.000226267
71,452.621,0.27894,0.21364,0.80676,0.98503,0.9555,0.98026,0.93137,0.22916,0.16657,0.80307,0.000219198,0.000219198,0.000219198
72,458.97,0.26277,0.20479,0.80406,0.95556,0.97598,0.97616,0.93447,0.2126,0.16329,0.79571,0.000212129,0.000212129,0.000212129
73,465.342,0.26635,0.20724,0.8005,0.983,0.94954,0.97822,0.92719,0.24272,0.176,0.80302,0.000205061,0.000205061,0.000205061
74,471.591,0.25847,0.19862,0.80235,0.97285,0.9608,0.97787,0.92818,0.2242,0.16462,0.79922,0.000197992,0.000197992,0.000197992
75,477.869,0.25717,0.19762,0.80259,0.96732,0.96814,0.97821,0.93237,0.21884,0.16223,0.79801,0.000190924,0.000190924,0.000190924
76,484.161,0.25763,0.19976,0.8043,0.96245,0.96918,0.97547,0.9303,0.23058,0.16605,0.8011,0.000183855,0.000183855,0.000183855
77,490.518,0.26136,0.20197,0.8024,0.96632,0.95962,0.97705,0.92484,0.22013,0.16567,0.80077,0.000176786,0.000176786,0.000176786
78,496.782,0.26008,0.1973,0.79889,0.98311,0.94945,0.97681,0.92359,0.22761,0.16732,0.80199,0.000169718,0.000169718,0.000169718
79,503.052,0.24782,0.19044,0.8002,0.96806,0.96538,0.97685,0.93383,0.21313,0.15877,0.79775,0.000162649,0.000162649,0.000162649
80,509.361,0.24783,0.18857,0.79995,0.97439,0.96602,0.97616,0.92588,0.23112,0.16918,0.80382,0.000155581,0.000155581,0.000155581
81,515.634,0.25155,0.19488,0.79862,0.97332,0.96363,0.97759,0.92416,0.2384,0.16761,0.80433,0.000148512,0.000148512,0.000148512
82,522.041,0.2367,0.18661,0.79699,0.97189,0.96866,0.97671,0.92606,0.22371,0.16369,0.80188,0.000141443,0.000141443,0.000141443
83,528.285,0.23912,0.18871,0.79674,0.9612,0.96474,0.97452,0.92634,0.21319,0.16147,0.79906,0.000134375,0.000134375,0.000134375
84,534.552,0.24061,0.1881,0.80031,0.96423,0.96173,0.97572,0.92245,0.22684,0.16552,0.80502,0.000127306,0.000127306,0.000127306
85,540.807,0.23353,0.18348,0.79607,0.96255,0.96331,0.97781,0.93678,0.2098,0.15422,0.79602,0.000120238,0.000120238,0.000120238
86,547.141,0.24136,0.18671,0.80245,0.98443,0.94626,0.97471,0.92655,0.21203,0.164,0.79712,0.000113169,0.000113169,0.000113169
87,553.548,0.22911,0.17793,0.79236,0.96709,0.95747,0.97626,0.93329,0.20798,0.15594,0.79643,0.0001061,0.0001061,0.0001061
88,559.817,0.23341,0.18473,0.79647,0.96952,0.97163,0.97789,0.93129,0.20712,0.15272,0.7977,9.90318e-05,9.90318e-05,9.90318e-05
89,566.112,0.22173,0.18033,0.79345,0.96181,0.96383,0.97689,0.93781,0.20545,0.15135,0.79551,9.19632e-05,9.19632e-05,9.19632e-05
90,572.416,0.22433,0.17725,0.79163,0.97639,0.96386,0.97855,0.92553,0.21414,0.15472,0.80132,8.48946e-05,8.48946e-05,8.48946e-05
91,588.666,0.19523,0.14725,0.78134,0.9707,0.96169,0.97883,0.93007,0.21186,0.16173,0.79625,7.7826e-05,7.7826e-05,7.7826e-05
92,594.989,0.18927,0.14522,0.77376,0.9633,0.96226,0.97592,0.92985,0.21517,0.16509,0.79844,7.07574e-05,7.07574e-05,7.07574e-05
93,601.308,0.19111,0.14393,0.7784,0.97497,0.95779,0.9776,0.93131,0.20376,0.15581,0.79622,6.36888e-05,6.36888e-05,6.36888e-05
94,607.549,0.18331,0.14237,0.7805,0.98771,0.9416,0.97676,0.93243,0.20525,0.1557,0.79618,5.66202e-05,5.66202e-05,5.66202e-05
95,613.765,0.17658,0.1375,0.77581,0.9639,0.96955,0.97694,0.92793,0.20355,0.15427,0.79919,4.95516e-05,4.95516e-05,4.95516e-05
96,619.994,0.17446,0.13693,0.77676,0.97065,0.96966,0.97911,0.93247,0.21142,0.15148,0.79976,4.2483e-05,4.2483e-05,4.2483e-05
97,626.348,0.17501,0.13426,0.77454,0.9702,0.96144,0.97787,0.9373,0.20214,0.14955,0.79737,3.54144e-05,3.54144e-05,3.54144e-05
98,632.525,0.17562,0.13161,0.7727,0.98432,0.94836,0.97744,0.93283,0.20145,0.15119,0.79747,2.83458e-05,2.83458e-05,2.83458e-05
99,638.747,0.16365,0.12736,0.7734,0.97827,0.95228,0.97775,0.93243,0.20323,0.15165,0.79813,2.12772e-05,2.12772e-05,2.12772e-05
100,644.981,0.16863,0.13114,0.77505,0.97569,0.95385,0.97707,0.93012,0.20469,0.15158,0.79921,1.42086e-05,1.42086e-05,1.42086e-05
